Identifikationsnr	Typ av objekt	Objekt	Alternativt nummer-Institutionsintern katalog/lista	Titel	Motiv-beskrivning	Avbildade - orter	Namn-Fotograf	Motiv-klassifikation-SAB	Motiv-ämnesord	Referens-Arkivreferenser	Rättigheter
TEKA0116825	Foto	Skioptikonbild med motiv av vy över Passau. Bilden har förvarats i kartong märkt: Resan 1906. Passau 8.	SKC2460	Rådhuset, Stefansdomen och Pauluskyrkan i Passau	Skioptikonbild med motiv av vy över Passau.  Bilden har förvarats i kartong märkt: Resan 1906. Passau 8.	Passau, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	panorama, stadsbild, stadsvy	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116827	Foto	Skioptikonbild med motiv av Passau Burg, Passau, 1906. Bron Kettensteg över floden Danube. Bilden har förvarats i kartong märkt: Resan 1906. Passau 8.	SKC2462	Borgen Veste Niederburg i Passau	Skioptikonbild med motiv av Passau Burg, Passau, 1906.  Bron Kettensteg över floden Danube.  Bilden har förvarats i kartong märkt: Resan 1906. Passau 8.	Passau, DE (Tyskland)	Curman, Sigurd	Brobyggnad<Ppcd>	borg, burg, danube, flod, hängbro, kettensteg, passau, slott	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116829	Foto	Skioptikonbild med motiv från Dinkelsbühl. Bilden har förvarats i kartong märkt: Resan 1906. Passau 8. Text på bild: Dinkelsbuhl"."	SKC2464	Motiv från Dinkelsbühl	Skioptikonbild med motiv från Dinkelsbühl.  Bilden har förvarats i kartong märkt: Resan 1906. Passau 8. Text på bild: Dinkelsbuhl"."	Dinkelsbühl, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116833	Foto	Skioptikonbild med motiv av kyrka i Worms. Bilden har förvarats i kartong märkt: Resan 1906. Mannheim 2. Worms 5. Oppenheim 1.	SKC2468	Del av kyrka i Worms	Skioptikonbild med motiv av kyrka i Worms.  Bilden har förvarats i kartong märkt: Resan 1906. Mannheim 2. Worms 5. Oppenheim 1.	Worms, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	kyrka, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116840	Foto	Skioptikonbild med motiv från Meersburg. Bilden har förvarats i kartong märkt: Resan 1906. Meersburg 8.	SKC2475	Borgen i Meersburg	Skioptikonbild med motiv från Meersburg.  Bilden har förvarats i kartong märkt: Resan 1906. Meersburg 8.	Meersburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116841	Foto	Skioptikonbild med motiv av valvport till stadsmuren i Meersburg. Bilden har förvarats i kartong märkt: Resan 1906. Meersburg 8.	SKC2476	Marktplatz i Meersburg	Skioptikonbild med motiv av valvport till stadsmuren i Meersburg.  Bilden har förvarats i kartong märkt: Resan 1906. Meersburg 8.	Meersburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	altes, gamla, schloss, slottet, valvport	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116844	Foto	Skioptikonbild med motiv från Meersburg. Bilden har förvarats i kartong märkt: Resan 1906. Meersburg 8.	SKC2479	Motiv från Meersburg	Skioptikonbild med motiv från Meersburg.  Bilden har förvarats i kartong märkt: Resan 1906. Meersburg 8.	Meersburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	exteriör, hus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116845	Foto	Skioptikonbild med motiv från Meersburg. Bilden har förvarats i kartong märkt: Resan 1906. Meersburg 8.	SKC2480	Am Hafen i Meersburg	Skioptikonbild med motiv från Meersburg.  Bilden har förvarats i kartong märkt: Resan 1906. Meersburg 8.	Meersburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	exteriör, hus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116847	Foto	Skioptikonbild med motiv från Rothenburg ob der Tauber. Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg XXIX.. Text på bild: Markt"."	SKC2482	Gatumotiv från Rothenburg	Skioptikonbild med motiv från Rothenburg ob der Tauber.  Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg XXIX.. Text på bild: Markt"."	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	der, marknad, ob, rothenburg, stadsbild, tauber	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116850	Foto	Skioptikonbild med motiv av västra stadsporten i Rothenburg ob der Tauber. Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg XXIX.. Text på bild: Burgthor"."	SKC2485	Västra stadsporten i Rothenburg	Skioptikonbild med motiv av västra stadsporten i Rothenburg ob der Tauber.  Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg XXIX.. Text på bild: Burgthor"."	Rothenburg, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	borg, der, ob, rothenburg, slott, stadsbild, tauber, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
