Identifikationsnr	Typ av objekt	Objekt	Alternativt nummer-Institutionsintern katalog/lista	Titel	Motiv-beskrivning	Avbildade - orter	Namn-Fotograf	Motiv-klassifikation-SAB	Motiv-ämnesord	Referens-Arkivreferenser	Rättigheter
TEKA0115180	Foto	Skioptikonbild med motiv av Amaliengade, i närheten av Kungliga slottet, Köpenhamn. Bilden har förvarats i kartong märkt: Köpenhamn 8. 1908. Text på bild: Amaliengade 1904""	SKC2022	Amaliengade, Köpenhamn	Skioptikonbild med motiv av Amaliengade, i närheten av Kungliga slottet, Köpenhamn.  Bilden har förvarats i kartong märkt: Köpenhamn 8. 1908. Text på bild: Amaliengade 1904""	Köpenhamn (Danmark (DK))	Curman, Sigurd	Arkitektur<Ic>	amaliengade	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115182	Foto	Skioptikonbild med motiv av Gefionmonumente, Gefionfontänen i Köpenhamn. Bilden har förvarats i kartong märkt: Köpenhamn 8. 1908. Text på bild: Gefionmonumentet 1904"."	SKC2024	Gefionfontänen i Köpenhamn	Skioptikonbild med motiv av Gefionmonumente, Gefionfontänen i Köpenhamn.  Bilden har förvarats i kartong märkt: Köpenhamn 8. 1908. Text på bild: Gefionmonumentet 1904"."	Köpenhamn (Danmark (DK))	Curman, Sigurd	Skulptur<Id>	gefionfontän, gefionmonumente	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115185	Foto	Skioptikonbild med motiv av Sankta Maria kyrka, Helsingborg. Bilden har förvarats i kartong märkt: Helsingör 3. Esbergårda. Hornbek. Helsingborg. 1904.	SKC2027	Sankta Maria kyrka, Helsingborg	Skioptikonbild med motiv av Sankta Maria kyrka, Helsingborg.  Bilden har förvarats i kartong märkt: Helsingör 3. Esbergårda. Hornbek. Helsingborg. 1904.	Skåne, Helsingborg, Helsingborg (Sverige (SE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	exteriör, kyrka, maria, sankta	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115188	Foto	Skioptikonbild med motiv från Esberg, Danmark. Cykelbutiken Adler' Cykler. Bilden har förvarats i kartong märkt: Helsingör 3. Esbergårda. Hornbek. Helsingborg. 1904.	SKC2030	Cykelbutiken Adler' Cykler, Esberg, Danmark	Skioptikonbild med motiv från Esberg, Danmark. Cykelbutiken Adler' Cykler.  Bilden har förvarats i kartong märkt: Helsingör 3. Esbergårda. Hornbek. Helsingborg. 1904.	Esbjerg (Danmark (DK))	Curman, Sigurd		affär, butik, cykel, esberg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115198	Foto	Skioptikonbild med motiv av torget i Helsingborg, sett från Rådhuset. Bilden har förvarats i kartong märkt: Helsingborg 8. 1908.. Text på bild: Torget från Rådhuset""	SKC2040	Torget i Helsingborg, sett från Rådhuset	Skioptikonbild med motiv av torget i Helsingborg, sett från Rådhuset.  Bilden har förvarats i kartong märkt: Helsingborg 8. 1908.. Text på bild: Torget från Rådhuset""	Skåne, Helsingborg, Helsingborg (Sverige (SE))	Curman, Sigurd	Arkitektur<Ic>	gata, rådhus, stadsvy, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115199	Foto	Skioptikonbild med motiv av rådhuset i Helsingborg. Bilden har förvarats i kartong märkt: Helsingborg 8. 1908.	SKC2041	Rådhuset i Helsingborg	Skioptikonbild med motiv av rådhuset i Helsingborg.  Bilden har förvarats i kartong märkt: Helsingborg 8. 1908.	Skåne, Helsingborg, Helsingborg (Sverige (SE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	rådhus, stadsvy, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115200	Foto	Skioptikonbild med motiv av män som lägger gatsten framför rådhuset i Halle. Bilden har förvarats i kartong märkt: Resan 1902.Halle 7. Text på bild: Das Rathhaus""	SKC2042	Stenläggare vid rådhuset i Halle.	Skioptikonbild med motiv av män som lägger gatsten framför rådhuset i Halle.  Bilden har förvarats i kartong märkt: Resan 1902.Halle 7. Text på bild: Das Rathhaus""	Halle, DE (Tyskland)	Curman, Sigurd		arbetare, gatsten, rådhus	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115201	Foto	Skioptikonbild med motiv av marknad på torget framför rådhuset i Halle. Bilden har förvarats i kartong märkt: Resan 1902. Halle 7. Text på bild: Altes Rathhaus""	SKC2043	Marknad på torget framför rådhuset i Halle	Skioptikonbild med motiv av marknad på torget framför rådhuset i Halle.  Bilden har förvarats i kartong märkt: Resan 1902. Halle 7. Text på bild: Altes Rathhaus""	Halle, DE (Tyskland)	Curman, Sigurd		marknad, rådhus, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115202	Foto	Skioptikonbild med motiv från marknad i Halle an der Saale. Bilden har förvarats i kartong märkt: Resan 1902.Halle 7. Text på bild: Am markt marieuk"."	SKC2044	Marknad i Halle an der Saale	Skioptikonbild med motiv från marknad i Halle an der Saale.  Bilden har förvarats i kartong märkt: Resan 1902.Halle 7. Text på bild: Am markt marieuk"."	Halle, DE (Tyskland)	Curman, Sigurd		an, der, halle, kyrka, marknad, saale, staty	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115209	Foto	Skioptikonbild med motiv av hus invid floden Pegnitz, Nürnberg. Bilden har förvarats i kartong märkt: 1904 Cassel. Nurnberg. X.	SKC2051	Hus invid floden Pegnitz, Nürnberg	Skioptikonbild med motiv av hus invid floden Pegnitz, Nürnberg.  Bilden har förvarats i kartong märkt: 1904 Cassel. Nurnberg. X.	Nürnberg (Tyskland (DE))	Curman, Sigurd		flod, hus, pegnitz	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115214	Foto	Skioptikonbild med motiv man framför café på gata i Nürnberg. Bredvid promenerar två kvinnor med paraply. Bilden har förvarats i kartong märkt: Nürnberg VI. 1901	SKC2056	Café i Nürnberg	Skioptikonbild med motiv man framför café på gata i Nürnberg. Bredvid promenerar två kvinnor med paraply.  Bilden har förvarats i kartong märkt: Nürnberg VI. 1901	Nürnberg (Tyskland (DE))	Curman, Sigurd		café, gata, kvinna, man, paraply, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115215	Foto	Skioptikonbild med motiv av kvinna med fyra små barn på gata i Nürnberg. Bilden har förvarats i kartong märkt: Nürnberg VI. 1901	SKC2057	Kvinna med barn, på gata i Nürnberg	Skioptikonbild med motiv av kvinna med fyra små barn på gata i Nürnberg.  Bilden har förvarats i kartong märkt: Nürnberg VI. 1901	Nürnberg (Tyskland (DE))	Curman, Sigurd		barn, flicka, kvinna, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115219	Foto	Skioptikonbild med motiv av marknad på torget framför Frauenkirche i Nürnberg. Bilden har förvarats i kartong märkt: Nürnberg VI. 1901. Text på bild: Am Hauptmarkt""	SKC2061	Marknad framför Frauenkirche i Nürnberg	Skioptikonbild med motiv av marknad på torget framför Frauenkirche i Nürnberg.  Bilden har förvarats i kartong märkt: Nürnberg VI. 1901. Text på bild: Am Hauptmarkt""	Nürnberg (Tyskland (DE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	frauenkirche, kyrka, marknadsståd	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115220	Foto	Skioptikonbild med motiv av stadsvimmel på torget i Nürnberg. Bilden har förvarats i kartong märkt: Nürnberg VI. 1901	SKC2062	Stadsvimmel på torget i Nürnberg	Skioptikonbild med motiv av stadsvimmel på torget i Nürnberg.  Bilden har förvarats i kartong märkt: Nürnberg VI. 1901	Nürnberg (Tyskland (DE))	Curman, Sigurd		kvinna, man, paraply, stadsbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115221	Foto	Skioptikonbild med motiv av folksamling på torget i Nürnberg. Bilden har förvarats i kartong märkt: Nürnberg VI. 1901	SKC2063	Folksamling på torget i Nürnberg	Skioptikonbild med motiv av folksamling på torget i Nürnberg.  Bilden har förvarats i kartong märkt: Nürnberg VI. 1901	Nürnberg (Tyskland (DE))	Curman, Sigurd		kvinna, man, stadbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115224	Foto	Skioptikonbild med motiv av Röderbogen mot Markusturm. Bilden har förvarats i kartong märkt: Rothenburg III. 1901. 9. Text på bild: 1902""	SKC2066	Röderbogen i Rothenburg, mot Markusturm	Skioptikonbild med motiv av Röderbogen mot Markusturm.  Bilden har förvarats i kartong märkt: Rothenburg III. 1901. 9. Text på bild: 1902""	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	borg, markusturm, röderbogen, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115226	Foto	Skioptikonbild med motiv från gata i Rothenburg. Bilden har förvarats i kartong märkt: Rothenburg III. 1901. 9	SKC2068	Gata i Rothenburg	Skioptikonbild med motiv från gata i Rothenburg.  Bilden har förvarats i kartong märkt: Rothenburg III. 1901. 9	Rothenburg, DE (Tyskland)	Curman, Sigurd		exteriör, gara, husfasad, stadbild, vagn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115227	Foto	Skioptikonbild med motiv av man med häst och vagn på gata i Rothenburg. Bilden har förvarats i kartong märkt: Rothenburg III. 1901. 9	SKC2069	Man med häst och vagn på gata i Rothenburg	Skioptikonbild med motiv av man med häst och vagn på gata i Rothenburg.  Bilden har förvarats i kartong märkt: Rothenburg III. 1901. 9	Rothenburg, DE (Tyskland)	Curman, Sigurd		häst, kullerstensgata, man, stadsbild, vagn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115228	Foto	Skioptikonbild med motiv av hus i Rothenburg. Bilden har förvarats i kartong märkt: Rothenburg III. 1901. 9	SKC2070	Hus i Rothenburg	Skioptikonbild med motiv av hus i Rothenburg.  Bilden har förvarats i kartong märkt: Rothenburg III. 1901. 9	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	husfasad, stadsbild, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115230	Foto	Skioptikonbild med motiv från gata i Rothenburg. Bilden har förvarats i kartong märkt: Rothenburg III. 1901. 9. Text på bild: Würghurger Strafse""	SKC2072	Gata med vagnar i Rothenburg	Skioptikonbild med motiv från gata i Rothenburg.  Bilden har förvarats i kartong märkt: Rothenburg III. 1901. 9. Text på bild: Würghurger Strafse""	Rothenburg, DE (Tyskland)	Curman, Sigurd		gata, kullersten, stadsbild, strafse, vagn, würghurger	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115231	Foto	Skioptikonbild med motiv av rådhuset i Rothenburg. Bilden har förvarats i kartong märkt: Rothenburg II. 1901.	SKC2073	Rådhuset i Rothenburg	Skioptikonbild med motiv av rådhuset i Rothenburg.  Bilden har förvarats i kartong märkt: Rothenburg II. 1901.	Rothenburg, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	rådhus, stadsbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115232	Foto	Skioptikonbild med motiv av fontän på torg, bredvid apotek, i Rothenburg. Bilden har förvarats i kartong märkt: Rothenburg II. 1901.	SKC2074	Fontän på torg, bredvid apotek i Rothenburg	Skioptikonbild med motiv av fontän på torg, bredvid apotek, i Rothenburg.  Bilden har förvarats i kartong märkt: Rothenburg II. 1901.	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	apotek, fontän, stadsbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115236	Foto	Skioptikonbild med motiv av torget i Rothenburg, bredvid rådhuset. Bilden har förvarats i kartong märkt: Rothenburg II. 1901.	SKC2078	Torget i Rothenburg, bredvid rådhuset	Skioptikonbild med motiv av torget i Rothenburg, bredvid rådhuset.  Bilden har förvarats i kartong märkt: Rothenburg II. 1901.	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	exteriör, fasad, rådhus, stadsbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115237	Foto	Skioptikonbild med motiv av fontän på torg i Rothenburg, i bakrunden syns tornet på rådhuset. Bilden har förvarats i kartong märkt: Rothenburg II. 1901.	SKC2079	Fontän på torg i Rothenburg	Skioptikonbild med motiv av fontän på torg i Rothenburg, i bakrunden syns tornet på rådhuset.  Bilden har förvarats i kartong märkt: Rothenburg II. 1901.	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	exteriör, fasad, fontän, rådhus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115238	Foto	Skioptikonbild med motiv av hus i Rothenburg. Bilden har förvarats i kartong märkt: Rothenburg II. 1901.	SKC2080	Hus i Rothenburg	Skioptikonbild med motiv av hus i Rothenburg.  Bilden har förvarats i kartong märkt: Rothenburg II. 1901.	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	fasad, hus, stadsbild, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115241	Foto	Skioptikonbild med motiv av restaurang Bratwurst Glöchlein i Bamberg. Bilden har förvarats i kartong märkt: Resan 1901. Bamberg 8. No 22. Text på bild: Bratwurst glöchlein"."	SKC2083	Restaurang Bratwurst Glöchlein i Bamberg	Skioptikonbild med motiv av restaurang Bratwurst Glöchlein i Bamberg.  Bilden har förvarats i kartong märkt: Resan 1901. Bamberg 8. No 22. Text på bild: Bratwurst glöchlein"."	Bamberg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	bratwurst, exteriör, fasad, gata, glöchlein, restaurang, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115244	Foto	Skioptikonbild med motiv från gränd i Bamberg. Bilden har förvarats i kartong märkt: Resan 1901. Bamberg 8. No 22	SKC2086	Gränd i Bamberg	Skioptikonbild med motiv från gränd i Bamberg.  Bilden har förvarats i kartong märkt: Resan 1901. Bamberg 8. No 22	Bamberg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	exteriör, gränd, hus, kullersten, mur, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115249	Foto	Skioptikonbild med motiv av gata i Goslar, i bakgrunden Marktkirche. Bilden har förvarats i kartong märkt: Resan 1907. Braunschweig 4. Gosslar 4.	SKC2091	Gata i Goslar, i bakgrunden Marktkirche	Skioptikonbild med motiv av gata i Goslar, i bakgrunden Marktkirche.  Bilden har förvarats i kartong märkt: Resan 1907. Braunschweig 4. Gosslar 4.	Braunschweig (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	borg, burg, dankwarderode, gata, gränd, slott, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115251	Foto	Skioptikonbild med motiv från gata i Braunschweig, i bakgrunden Burg Dankwarderode? Bilden har förvarats i kartong märkt: Resan 1907. Braunschweig 4. Gosslar 4.	SKC2093	Gata i Braunschweig	Skioptikonbild med motiv från gata i Braunschweig, i bakgrunden Burg Dankwarderode?  Bilden har förvarats i kartong märkt: Resan 1907. Braunschweig 4. Gosslar 4.	Braunschweig (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	burg, dankwarderode, exteriör, fasad, gata, hus, slott, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115252	Foto	Skioptikonbild med motiv från Braunschweig. Bilden har förvarats i kartong märkt: Resan 1907. Braunschweig 4. Gosslar 4.. Text på bild: Braunschweig i fest""	SKC2094	Motiv från Braunschweig	Skioptikonbild med motiv från Braunschweig.  Bilden har förvarats i kartong märkt: Resan 1907. Braunschweig 4. Gosslar 4.. Text på bild: Braunschweig i fest""	Braunschweig (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	fest, gata, kullersten, stadsbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115258	Foto	Skioptikonbild med motiv av hus från 1400-talet i Nürnberg. Medeltida hus av röd sandsten.  Bilden har förvarats i kartong märkt: Nürnberg XII. 1901. Text på bild: Das Nassauerhaus XIV talet"."	SKC2100	Nassauer Haus, Nürnberg	Skioptikonbild med motiv av hus från 1400-talet i Nürnberg. Medeltida hus av röd sandsten.   Bilden har förvarats i kartong märkt: Nürnberg XII. 1901. Text på bild: Das Nassauerhaus XIV talet"."	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	exteriör, foundation, house, hus, medeltidshus, nassau, röd, sandsten, schlüsselfeldersche	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115259	Foto	Skioptikonbild med motiv av gatan Adlerstrasse i Nürnberg. Bilden har förvarats i kartong märkt: Nürnberg XII. 1901. Text på bild: Adlerstrasse"."	SKC2101	Adlerstrasse i Nürnberg	Skioptikonbild med motiv av gatan Adlerstrasse i Nürnberg.  Bilden har förvarats i kartong märkt: Nürnberg XII. 1901. Text på bild: Adlerstrasse"."	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	adlerstrasse, exteriör, gata, hus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115260	Foto	Skioptikonbild med motiv av mur vid Kaiserburg (Kejsarens Slott) Nürnberg. Bilden har förvarats i kartong märkt: Nürnberg XII.  1901	SKC2102	Mur vid Kaiserburg, Nürnberg	Skioptikonbild med motiv av mur vid Kaiserburg (Kejsarens Slott) Nürnberg.  Bilden har förvarats i kartong märkt: Nürnberg XII.  1901	Nürnberg (Tyskland (DE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	kaiserburg, kejsarens, mur, slott, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115261	Foto	Skioptikonbild med motiv av vy över Nürnberg med Kaiserburg (Kejsarens Slott) i bakgrunden. Bilden har förvarats i kartong märkt: Nürnberg XII.  1901	SKC2103	Nürnberg med Kaiserburg i bakgrunden	Skioptikonbild med motiv av vy över Nürnberg med Kaiserburg (Kejsarens Slott) i bakgrunden.  Bilden har förvarats i kartong märkt: Nürnberg XII.  1901	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	kaiserburg, kejsarens, panorama, slott, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115262	Foto	Skioptikonbild med motiv av Kaiserburg (Kejsarens Slott) i Nürnberg. Bilden har förvarats i kartong märkt: Nürnberg XII.  1901. Text på bild: Die Burg""	SKC2104	Kaiserburg i Nürnberg	Skioptikonbild med motiv av Kaiserburg (Kejsarens Slott) i Nürnberg.  Bilden har förvarats i kartong märkt: Nürnberg XII.  1901. Text på bild: Die Burg""	Nürnberg (Tyskland (DE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	kaiserburg, kejsarens, slott	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115265	Foto	Skioptikonbild med motiv av gata vid Sankt Sebalduskirche i Nürnberg. Bilden har förvarats i kartong märkt: Nürnberg 1901. VIII.. Text på bild: Au Hauptmarkt""	SKC2107	Gata vid Sankt Sebalduskirche i Nürnberg	Skioptikonbild med motiv av gata vid Sankt Sebalduskirche i Nürnberg.  Bilden har förvarats i kartong märkt: Nürnberg 1901. VIII.. Text på bild: Au Hauptmarkt""	Nürnberg (Tyskland (DE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	belysning, exteriör, gata, sankt, sebalduskirche, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115268	Foto	Skioptikonbild med motiv av transportvagn med tunnor på gata i Nürnberg, invid äldre hus. Bilden har förvarats i kartong märkt: Nürnberg 1901. VIII.	SKC2110	Transportvagn med tunnor på gata i Nürnberg	Skioptikonbild med motiv av transportvagn med tunnor på gata i Nürnberg, invid äldre hus.  Bilden har förvarats i kartong märkt: Nürnberg 1901. VIII.	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	Transport, exteriör, hur, stadsbild, tunna, vagn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115270	Foto	Skioptikonbild med motiv av ekipage på gata i Nürnberg. Bilden har förvarats i kartong märkt: Nürnberg 1901. VIII.	SKC2112	Ekipage på gata i Nürnberg	Skioptikonbild med motiv av ekipage på gata i Nürnberg.  Bilden har förvarats i kartong märkt: Nürnberg 1901. VIII.	Nürnberg (Tyskland (DE))	Curman, Sigurd		ekipage, exteriör, häst, syadsbild, vagn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115273	Foto	Skioptikonbild med motiv av man på gata i Nürnberg. Bilden har förvarats i kartong märkt: Nürnberg 1901. VIII.	SKC2115	Man på gata i Nürnberg	Skioptikonbild med motiv av man på gata i Nürnberg.  Bilden har förvarats i kartong märkt: Nürnberg 1901. VIII.	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	exteriör, fasad, gata, hus, man, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115276	Foto	Skioptikonbild med motiv Fleischerbrügge (Slaktarens bro) över floden Pegnitz. Bilden har förvarats i kartong märkt: Nürnberg 1901. V.	SKC2118	Fleischerbrügge över floden Pegnitz	Skioptikonbild med motiv Fleischerbrügge (Slaktarens bro) över floden Pegnitz.  Bilden har förvarats i kartong märkt: Nürnberg 1901. V.	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	bro, fleischerbrügge, flod, pegnitz, slaktarens, stadsbild, valvbro	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115277	Foto	Skioptikonbild med motiv Frauenkirche i Nürnberg. Bilden har förvarats i kartong märkt: Nürnberg 1901. V.	SKC2119	Frauenkirche i Nürnberg	Skioptikonbild med motiv Frauenkirche i Nürnberg.  Bilden har förvarats i kartong märkt: Nürnberg 1901. V.	Nürnberg (Tyskland (DE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	frauenkirche, katedral, kyrka, marknad, stånd, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115278	Foto	Skioptikonbild med motiv marknadsstånd på torget i Nürnberg, bredvid fontän. Bilden har förvarats i kartong märkt: Nürnberg 1901. V.	SKC2120	Marknadsstånd på torget i Nürnberg	Skioptikonbild med motiv marknadsstånd på torget i Nürnberg, bredvid fontän.  Bilden har förvarats i kartong märkt: Nürnberg 1901. V.	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	fontän, marknad, stadsbild, stånd, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115498	Foto	Skioptikonbild med motiv av torghandel i Bamberg. Bilden har förvarats i kartong märkt: Resan 1907. Bamberg. 20. Text på bild: Voderer Graben"."	SKC2234	Torghandel i Bamberg	Skioptikonbild med motiv av torghandel i Bamberg.  Bilden har förvarats i kartong märkt: Resan 1907. Bamberg. 20. Text på bild: Voderer Graben"."	Bamberg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	graben, handlare, kvinna, skioptikonbild, torg, torgförsäljning, voderer	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115506	Foto	Skioptikonbild med motiv av Hotel Kaiserworth vid torget i Goslar. Bilden har förvarats i kartong märkt: Resan 1907. Goslar 8. Text på bild: Baggens plat"."	SKC2242	Hotel Kaiserworth vid torget i Goslar	Skioptikonbild med motiv av Hotel Kaiserworth vid torget i Goslar.  Bilden har förvarats i kartong märkt: Resan 1907. Goslar 8. Text på bild: Baggens plat"."	Goslar, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	fontän, hotel, hotell, kaiserworth, skioptikonbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115509	Foto	Skioptikonbild med motiv av rådhuset vid torget i Goslar. Bilden har förvarats i kartong märkt: Resan 1907. Gosslar 8. Text på bild: Das Rathhaus"."	SKC2245	Rådhuset vid torget i Goslar	Skioptikonbild med motiv av rådhuset vid torget i Goslar.  Bilden har förvarats i kartong märkt: Resan 1907. Gosslar 8. Text på bild: Das Rathhaus"."	Goslar, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	rådhus, skioptikonbild, stadsbild, torg, trappa	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115514	Foto	Skioptikonbild med motiv av rådhuset i Bamberg. Bilden har förvarats i kartong märkt: Resan 1907. Bamberg 1. 21. Text på bild: Das Rathhaus"."	SKC2250	Rådhuset i Bamberg	Skioptikonbild med motiv av rådhuset i Bamberg.  Bilden har förvarats i kartong märkt: Resan 1907. Bamberg 1. 21. Text på bild: Das Rathhaus"."	Bamberg, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	portal, rådhus, skioptikonbild, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115521	Foto	Skioptikonbild med motiv från torget i Nürnberg. Bilden har förvarats i kartong märkt: Resan 1907. Nürnberg 11. 26. Text på bild: Am Gäusemarkt"."	SKC2257	Torget i Nürnberg	Skioptikonbild med motiv från torget i Nürnberg.  Bilden har förvarats i kartong märkt: Resan 1907. Nürnberg 11. 26. Text på bild: Am Gäusemarkt"."	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	marknad, skoptikonbild, stånd, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
